date,time,pH,Temperature,Taste,Odor,Fat,Turbidity,Colour,Grade
01-Jun-2024,01:18:57,3,60,0,0,1,1,250,low
01-Jun-2024,01:18:59,3,60,0,0,1,1,250,low
01-Jun-2024,01:19:13,3,60,0,0,1,1,250,low
01-Jun-2024,01:19:15,3,60,0,0,1,1,250,low
01-Jun-2024,01:27:22,3,56,1,1,1,0,250,low
01-Jun-2024,01:29:38,3,60,1,1,0,0,250,low
01-Jun-2024,09:54:12,3,60,1,1,1,1,250,low
01-Jun-2024,10:20:24,3,60,1,0,0,0,249,low
01-Jun-2024,10:20:51,6,35,1,0,0,0,249,medium
01-Jun-2024,11:24:34,6.8,38,0,0,0,0,247,medium
01-Jun-2024,11:24:46,6.8,38,0,0,0,0,247,medium
01-Jun-2024,11:25:05,6.5,38,0,0,0,0,255,medium
01-Jun-2024,11:25:52,6.8,45,1,1,1,0,245,high
01-Jun-2024,11:26:31,6.6,37,0,1,1,1,245,high
01-Jun-2024,11:54:59,6.6,45,1,0,1,0,247,medium
