date,time,pH,Temperature,Taste,Odor,Fat,Turbidity,Colour,Grade
30-May-2024,05:44:35,6.6,35,1,0,1,0,244,medium
30-May-2024,05:45:49,6.6,35,1,0,1,0,244,medium
30-May-2024,05:46:14,6.6,35,1,0,1,0,244,medium
30-May-2024,08:55:57,7.5,34,1,1,1,0,248,low
31-May-2024,11:12:35,6,34,1,1,1,0,254,low
31-May-2024,11:12:48,6,36,1,0,1,0,254,medium
31-May-2024,11:12:55,7,36,1,0,1,0,254,high
31-May-2024,11:13:04,7,36,1,0,1,0,249,high
31-May-2024,11:13:08,7,36,1,0,1,0,249,high
31-May-2024,11:13:17,7,36,0,0,1,0,249,medium
31-May-2024,11:13:37,7,36,0,0,1,0,249,medium
31-May-2024,11:15:01,6.6,35,1,1,1,1,249,high
31-May-2024,11:15:04,6.6,35,1,1,1,1,249,high
31-May-2024,11:15:11,6.6,35,0,0,1,1,249,high
31-May-2024,11:15:16,6.6,35,0,0,1,0,249,medium
31-May-2024,11:15:18,6.6,35,0,0,1,0,249,medium
31-May-2024,11:15:58,6.6,35,0,0,1,0,249,medium
31-May-2024,11:16:12,6.6,35,0,0,1,0,249,medium
31-May-2024,11:16:18,6.6,35,0,0,1,0,249,medium
31-May-2024,11:16:47,6.6,35,1,0,0,0,247,medium
31-May-2024,11:17:05,6.6,35,1,0,1,1,252,high
31-May-2024,11:17:08,6.6,35,1,0,1,1,252,high
31-May-2024,11:17:14,6.6,35,1,0,1,1,252,high
31-May-2024,20:56:02,6.6,35,1,0,1,0,250,high
31-May-2024,21:10:39,6.6,35,1,0,1,0,250,high
31-May-2024,21:15:52,6.6,35,1,0,1,0,250,high
31-May-2024,21:22:50,6.6,35,0,0,1,1,250,high
31-May-2024,21:31:09,3,35,0,1,0,1,250,low
